population,responder_n,non_responder_n,responder_mean,non_responder_mean,mean_difference,test_statistic,p_value,adjusted_p_value,significant
b_cell,331,325,9.79755261,9.99631971,-0.19876710,-1.39756250,0.16271849,0.27404262,False
cd4_t_cell,331,325,30.53780834,29.90226178,0.63554657,2.84963197,0.00451498,0.02257489,True
cd8_t_cell,331,325,24.88193160,24.94392436,-0.06199276,-0.29698819,0.76657163,0.76657163,False
nk_cell,331,325,14.84094427,15.07316621,-0.23222194,-1.39192124,0.16442557,0.27404262,False
monocyte,331,325,19.94176318,20.08432794,-0.14256476,-0.75192470,0.45237515,0.56546893,False
